答案,DayOfYear,MinutesSinceStartOfDay,LocationCode
,137.0,860.0,4.0
,137.0,870.0,4.0
,137.0,880.0,4.0
,137.0,890.0,4.0
,137.0,900.0,4.0
,137.0,910.0,4.0
,137.0,920.0,4.0
,137.0,930.0,4.0
,137.0,940.0,4.0
,137.0,950.0,4.0
,137.0,960.0,4.0
,137.0,970.0,4.0
,137.0,980.0,4.0
,137.0,990.0,4.0
,137.0,1000.0,4.0
,137.0,1010.0,4.0
,154.0,550.0,4.0
,154.0,560.0,4.0
,154.0,570.0,4.0
,154.0,580.0,4.0
,154.0,590.0,4.0
,154.0,600.0,4.0
,154.0,610.0,4.0
,154.0,620.0,4.0
,154.0,630.0,4.0
,154.0,640.0,4.0
,154.0,650.0,4.0
,154.0,660.0,4.0
,154.0,670.0,4.0
,154.0,680.0,4.0
,154.0,690.0,4.0
,154.0,700.0,4.0
,154.0,710.0,4.0
,154.0,720.0,4.0
,154.0,730.0,4.0
,154.0,740.0,4.0
,154.0,750.0,4.0
,154.0,760.0,4.0
,154.0,770.0,4.0
,154.0,780.0,4.0
,154.0,790.0,4.0
,154.0,800.0,4.0
,154.0,810.0,4.0
,154.0,820.0,4.0
,154.0,830.0,4.0
,154.0,840.0,4.0
,154.0,850.0,4.0
,154.0,860.0,4.0
,154.0,870.0,4.0
,154.0,880.0,4.0
,154.0,890.0,4.0
,154.0,900.0,4.0
,154.0,910.0,4.0
,154.0,920.0,4.0
,154.0,930.0,4.0
,154.0,940.0,4.0
,154.0,950.0,4.0
,154.0,960.0,4.0
,154.0,970.0,4.0
,154.0,980.0,4.0
,154.0,990.0,4.0
,154.0,1000.0,4.0
,154.0,1010.0,4.0
,155.0,550.0,4.0
,155.0,560.0,4.0
,155.0,570.0,4.0
,155.0,580.0,4.0
,155.0,590.0,4.0
,155.0,600.0,4.0
,155.0,610.0,4.0
,155.0,620.0,4.0
,155.0,630.0,4.0
,155.0,640.0,4.0
,155.0,650.0,4.0
,155.0,660.0,4.0
,155.0,670.0,4.0
,155.0,680.0,4.0
,155.0,690.0,4.0
,155.0,700.0,4.0
